data from new session is written from here:,,,
Sun May  2 21:52:17 2021,1,22,235
Sun May  2 21:52:17 2021,5,-40,172
Sun May  2 21:52:17 2021,5,-40,172
Sun May  2 21:52:17 2021,102,-36,261
Sun May  2 21:52:17 2021,32,-101,367
Sun May  2 21:52:17 2021,-104,9,294
Sun May  2 21:52:17 2021,-104,9,294
Sun May  2 21:52:18 2021,-174,-31,272
Sun May  2 21:52:18 2021,-59,-145,247
Sun May  2 21:52:18 2021,121,-63,313
Sun May  2 21:52:18 2021,121,-63,313
Sun May  2 21:52:18 2021,75,6,289
Sun May  2 21:52:18 2021,-143,-100,272
Sun May  2 21:52:18 2021,-143,-100,272
Sun May  2 21:52:18 2021,-60,-40,185
Sun May  2 21:52:18 2021,139,27,288
Sun May  2 21:52:18 2021,139,27,288
Sun May  2 21:52:18 2021,59,130,306
Sun May  2 21:52:18 2021,-38,32,227
Sun May  2 21:52:18 2021,-5,-116,200
Sun May  2 21:52:18 2021,-5,-116,200
Sun May  2 21:52:18 2021,117,-159,292
Sun May  2 21:52:18 2021,81,-40,348
Sun May  2 21:52:18 2021,81,-40,348
Sun May  2 21:52:18 2021,-145,-22,277
Sun May  2 21:52:18 2021,-129,-15,249
Sun May  2 21:52:18 2021,-129,-15,249
Sun May  2 21:52:18 2021,37,-79,300
Sun May  2 21:52:18 2021,102,18,312
Sun May  2 21:52:18 2021,-1,-43,287
Sun May  2 21:52:18 2021,-1,-43,287
Sun May  2 21:52:18 2021,-216,-124,240
Sun May  2 21:52:18 2021,-44,-23,192
Sun May  2 21:52:18 2021,-44,-23,192
Sun May  2 21:52:18 2021,-14,4,309
Sun May  2 21:52:18 2021,-141,56,274
Sun May  2 21:52:18 2021,-141,56,274
Sun May  2 21:52:18 2021,-100,0,228
Sun May  2 21:52:18 2021,6,-107,210
Sun May  2 21:52:18 2021,127,-109,294
Sun May  2 21:52:18 2021,127,-109,294
Sun May  2 21:52:18 2021,2,20,322
Sun May  2 21:52:18 2021,-103,43,273
Sun May  2 21:52:18 2021,-103,43,273
Sun May  2 21:52:18 2021,-110,-74,187
Sun May  2 21:52:18 2021,105,-49,274
Sun May  2 21:52:18 2021,105,-49,274
Sun May  2 21:52:18 2021,111,-15,336
Sun May  2 21:52:18 2021,0,-14,274
Sun May  2 21:52:18 2021,0,-14,274
Sun May  2 21:52:18 2021,-207,-131,217
Sun May  2 21:52:18 2021,64,-92,324
Sun May  2 21:52:18 2021,84,6,341
Sun May  2 21:52:18 2021,84,6,341
Sun May  2 21:52:18 2021,-1,74,229
Sun May  2 21:52:18 2021,-128,-84,194
Sun May  2 21:52:18 2021,-128,-84,194
Sun May  2 21:52:18 2021,131,-19,212
Sun May  2 21:52:18 2021,97,-23,338
Sun May  2 21:52:18 2021,97,-23,338
Sun May  2 21:52:18 2021,8,59,296
Sun May  2 21:52:18 2021,-64,39,230
Sun May  2 21:52:18 2021,-64,39,230
Sun May  2 21:52:18 2021,-70,-96,220
Sun May  2 21:52:18 2021,137,-73,321
Sun May  2 21:52:18 2021,-6,-69,316
Sun May  2 21:52:18 2021,-6,-69,316
Sun May  2 21:52:18 2021,-312,-81,286
Sun May  2 21:52:18 2021,-155,-78,254
Sun May  2 21:52:18 2021,-155,-78,254
Sun May  2 21:52:18 2021,38,-7,292
Sun May  2 21:52:18 2021,83,56,290
Sun May  2 21:52:18 2021,83,56,290
Sun May  2 21:52:18 2021,-8,-16,227
Sun May  2 21:52:18 2021,-88,-98,212
Sun May  2 21:52:18 2021,-88,-98,212
Sun May  2 21:52:18 2021,131,-47,287
Sun May  2 21:52:18 2021,115,31,373
