frequency of X,Amplitude of X,frequency of Y,Amplitude of Y,frequency of Z,Amplitude of Z
181.2080537,54.76788163,181.2080537,30.84127975,181.2080537,22.84441642
184.5637584,53.74568523,184.5637584,27.4749308,184.5637584,19.80836861
164.4295302,52.98881204,164.4295302,21.25254561,164.4295302,23.47863449
167.7852349,49.47243812,167.7852349,23.50484867,167.7852349,24.26909512
174.4966443,34.3697298,174.4966443,18.36517266,174.4966443,13.06734845
33.55704698,23.68061933,33.55704698,6.564931237,33.55704698,1.422406579
171.1409396,22.16706946,171.1409396,9.519396219,171.1409396,10.95613407
177.852349,19.70200244,177.852349,4.062749983,177.852349,7.285936963
3.355704698,17.89671532,3.355704698,2.039011937,3.355704698,1.58257039
154.3624161,17.4382555,154.3624161,13.34277625,154.3624161,2.06476417
419.4630872,17.06695039,419.4630872,6.892231628,419.4630872,6.867275892
40.26845638,17.06653647,40.26845638,8.687216221,40.26845638,2.429495262
187.9194631,15.0408513,187.9194631,16.94468922,187.9194631,7.896331098
63.75838926,14.8533758,63.75838926,6.597594609,63.75838926,0.432412718
23.48993289,14.81225637,23.48993289,3.765836065,23.48993289,1.554203698
261.7449664,14.42692682,261.7449664,3.835739317,261.7449664,3.333039033
36.91275168,14.41752892,36.91275168,4.753655334,36.91275168,1.258972575
469.7986577,14.13273507,469.7986577,6.932154046,469.7986577,7.25376819
214.7651007,14.10112768,214.7651007,6.692798464,214.7651007,3.49515165
120.8053691,13.6815723,120.8053691,9.417625277,120.8053691,5.36759814
57.04697987,13.65606671,57.04697987,3.562372317,57.04697987,3.069647203
355.704698,13.65099919,355.704698,6.556428069,355.704698,0.921432287
53.69127517,12.99179404,53.69127517,6.039243951,53.69127517,3.662765727
244.966443,12.92484403,244.966443,4.367961034,244.966443,0.621402446
268.4563758,12.79824009,268.4563758,5.260041663,268.4563758,0.828837404
248.3221477,12.73262175,248.3221477,4.376053841,248.3221477,2.472104031
473.1543624,12.49901358,473.1543624,10.85971324,473.1543624,3.287170038
489.9328859,12.31406291,489.9328859,3.134735188,489.9328859,2.497871562
114.0939597,12.23304497,114.0939597,16.13166001,114.0939597,6.439983442
67.11409396,12.22676491,67.11409396,8.721041967,67.11409396,2.166137963
70.46979866,11.90945191,70.46979866,6.602466826,70.46979866,6.120015989
409.3959732,11.88656597,409.3959732,11.05141105,409.3959732,5.297223471
