frequency of X,Amplitude of X,frequency of Y,Amplitude of Y,frequency of Z,Amplitude of Z
3.355704698,9.284709353,3.355704698,25.99828211,3.355704698,12.44364381
6.711409396,17.84248504,6.711409396,12.45240499,6.711409396,4.369795484
10.06711409,12.02126091,10.06711409,19.13015911,10.06711409,14.81385196
13.42281879,5.950202741,13.42281879,11.99234486,13.42281879,8.26791569
16.77852349,5.412283142,16.77852349,47.86806186,16.77852349,37.15689776
20.13422819,10.50238113,20.13422819,11.83807754,20.13422819,19.31942741
23.48993289,10.58272989,23.48993289,21.47300121,23.48993289,15.03190559
26.84563758,7.118642678,26.84563758,34.39084118,26.84563758,21.76887068
30.20134228,16.39733839,30.20134228,38.26183085,30.20134228,21.97102245
33.55704698,4.670152865,33.55704698,11.22407623,33.55704698,15.24828504
36.91275168,18.1561823,36.91275168,11.85997469,36.91275168,6.554014978
40.26845638,13.44904047,40.26845638,20.69023053,40.26845638,13.18721659
43.62416107,10.61127891,43.62416107,8.662238195,43.62416107,13.02436057
46.97986577,14.1647264,46.97986577,10.56989953,46.97986577,7.351752149
50.33557047,13.09856293,50.33557047,5.53190108,50.33557047,5.335153716
53.69127517,3.449409953,53.69127517,12.66131874,53.69127517,7.311197148
57.04697987,4.50302265,57.04697987,2.506968207,57.04697987,3.191905163
60.40268456,9.299003913,60.40268456,8.371586192,60.40268456,1.72094973
63.75838926,12.4191735,63.75838926,7.445447685,63.75838926,1.5763911
67.11409396,2.294631914,67.11409396,3.549605146,67.11409396,4.775377938
70.46979866,5.916968372,70.46979866,3.471562188,70.46979866,2.932583794
73.82550336,12.19724123,73.82550336,1.665157203,73.82550336,2.992168884
77.18120805,8.427110788,77.18120805,1.20718523,77.18120805,6.566112201
80.53691275,3.878145247,80.53691275,6.055061102,80.53691275,2.49674465
83.89261745,1.329730438,83.89261745,5.309837041,83.89261745,2.954855583
87.24832215,4.191559534,87.24832215,0.966887942,87.24832215,6.639550552
90.60402685,5.404018029,90.60402685,2.102174139,90.60402685,0.783024548
93.95973154,8.428741077,93.95973154,6.063588116,93.95973154,3.093347992
97.31543624,15.3854271,97.31543624,8.733979077,97.31543624,1.983101263
100.6711409,2.570037549,100.6711409,2.54521474,100.6711409,1.863191467
104.0268456,6.495272407,104.0268456,4.029041381,104.0268456,2.002022402
107.3825503,4.870353572,107.3825503,3.755440299,107.3825503,3.297490871
110.738255,10.87612303,110.738255,5.242957466,110.738255,6.532626828
114.0939597,4.917421858,114.0939597,8.636953112,114.0939597,5.530836604
117.4496644,5.035601576,117.4496644,0.673933969,117.4496644,1.552527603
120.8053691,10.95371654,120.8053691,2.017432696,120.8053691,3.253332844
124.1610738,6.832035002,124.1610738,8.432942353,124.1610738,4.124378334
127.5167785,8.681279425,127.5167785,3.539396003,127.5167785,2.776652658
130.8724832,9.525686713,130.8724832,2.133668411,130.8724832,4.839659636
134.2281879,9.911156505,134.2281879,3.96836233,134.2281879,8.74352828
137.5838926,9.408148296,137.5838926,6.247758814,137.5838926,1.901882083
140.9395973,3.709490719,140.9395973,2.346633835,140.9395973,3.17725063
144.295302,6.414326817,144.295302,4.31899649,144.295302,0.686838863
147.6510067,3.127195741,147.6510067,1.104321923,147.6510067,1.8091634
151.0067114,2.689668869,151.0067114,5.722169211,151.0067114,2.563479152
154.3624161,10.89704688,154.3624161,2.623219063,154.3624161,1.152533907
157.7181208,9.160854402,157.7181208,3.380946064,157.7181208,1.362036848
161.0738255,8.867823403,161.0738255,1.131790529,161.0738255,4.498260734
164.4295302,3.955014622,164.4295302,6.648410396,164.4295302,3.134888168
167.7852349,4.528786936,167.7852349,6.185427318,167.7852349,2.163423213
171.1409396,7.353382132,171.1409396,6.305460188,171.1409396,1.085806048
174.4966443,6.199355604,174.4966443,4.730198465,174.4966443,4.771360608
177.852349,12.15731726,177.852349,6.255062127,177.852349,1.522500125
181.2080537,10.18508606,181.2080537,2.077223785,181.2080537,1.566491858
184.5637584,7.448337806,184.5637584,5.182031446,184.5637584,2.077822389
187.9194631,6.396326023,187.9194631,3.175222588,187.9194631,1.158215053
191.2751678,9.368935552,191.2751678,1.689326433,191.2751678,3.44755763
194.6308725,4.195313276,194.6308725,4.131971727,194.6308725,2.228905797
197.9865772,8.575151945,197.9865772,5.99391869,197.9865772,3.315711239
201.3422819,18.91221311,201.3422819,9.754514936,201.3422819,1.846167486
204.6979866,9.833310429,204.6979866,1.358556129,204.6979866,1.935639466
208.0536913,7.15920426,208.0536913,4.918779479,208.0536913,3.134989128
211.409396,14.29033227,211.409396,3.364644473,211.409396,4.866459931
214.7651007,8.894486682,214.7651007,4.864761749,214.7651007,5.808446897
218.1208054,3.956687641,218.1208054,2.388618703,218.1208054,6.994175113
221.4765101,19.1873384,221.4765101,6.574066787,221.4765101,0.211222056
224.8322148,20.53743828,224.8322148,5.051769626,224.8322148,1.421880025
228.1879195,10.81745181,228.1879195,1.299707114,228.1879195,8.787362734
231.5436242,25.30100116,231.5436242,9.884877218,231.5436242,6.688703808
234.8993289,34.5953365,234.8993289,9.419801159,234.8993289,6.099753056
238.2550336,27.9608091,238.2550336,14.73089498,238.2550336,6.995760628
241.6107383,8.922716111,241.6107383,9.827587391,241.6107383,5.766580137
244.966443,17.8385455,244.966443,10.21683483,244.966443,5.328497501
248.3221477,7.964021562,248.3221477,4.23751726,248.3221477,3.751668588
251.6778523,7.988761551,251.6778523,15.55807043,251.6778523,5.685791257
255.033557,19.95790569,255.033557,10.47303397,255.033557,2.417692827
258.3892617,50.44737937,258.3892617,22.56278318,258.3892617,19.7269558
261.7449664,61.51042136,261.7449664,22.35723524,261.7449664,12.0835358
265.1006711,67.07729954,265.1006711,21.39025211,265.1006711,25.85879898
268.4563758,35.2108591,268.4563758,8.281597307,268.4563758,11.33587313
271.8120805,15.26869995,271.8120805,9.519511754,271.8120805,4.75466093
275.1677852,18.11987429,275.1677852,9.321212944,275.1677852,5.451489683
278.5234899,13.27199355,278.5234899,9.158149885,278.5234899,1.726400163
281.8791946,12.31128387,281.8791946,7.26728021,281.8791946,6.770149309
285.2348993,9.517776041,285.2348993,8.214876491,285.2348993,2.682156754
288.590604,8.406527023,288.590604,1.50744024,288.590604,0.650007192
291.9463087,10.20437546,291.9463087,8.309878319,291.9463087,3.996632931
295.3020134,9.188424743,295.3020134,0.960382462,295.3020134,4.742644991
298.6577181,2.878930551,298.6577181,2.705500675,298.6577181,0.778642676
302.0134228,5.996648721,302.0134228,1.850337427,302.0134228,4.569846314
305.3691275,5.749047763,305.3691275,2.793960677,305.3691275,2.381867195
308.7248322,6.364506621,308.7248322,3.488723344,308.7248322,2.254417944
312.0805369,6.377637432,312.0805369,4.718991064,312.0805369,0.356355225
315.4362416,2.234203333,315.4362416,1.281298041,315.4362416,2.028791852
318.7919463,3.918760831,318.7919463,1.505071017,318.7919463,2.509784007
322.147651,2.055830324,322.147651,3.665633579,322.147651,4.347228066
325.5033557,5.055917443,325.5033557,2.491566018,325.5033557,2.492696054
328.8590604,9.876782401,328.8590604,4.879668182,328.8590604,3.1708496
332.2147651,0.522598033,332.2147651,2.488167205,332.2147651,3.20376287
335.5704698,3.54751243,335.5704698,1.227264347,335.5704698,1.077218641
338.9261745,11.83628672,338.9261745,7.040489167,338.9261745,0.595219968
342.2818792,4.452780501,342.2818792,3.574247867,342.2818792,2.48196168
345.6375839,10.04681369,345.6375839,2.908870928,345.6375839,3.3943685
348.9932886,8.591104513,348.9932886,4.220609361,348.9932886,0.56026971
352.3489933,8.764863254,352.3489933,3.211591285,352.3489933,2.529023537
355.704698,3.491917078,355.704698,2.672104945,355.704698,2.941080497
359.0604027,5.377947416,359.0604027,3.260835905,359.0604027,1.918224996
362.4161074,4.516940955,362.4161074,5.508418512,362.4161074,3.697108167
365.7718121,7.881182171,365.7718121,3.746881515,365.7718121,2.957502117
369.1275168,3.362972137,369.1275168,3.324447336,369.1275168,0.842314735
372.4832215,7.52120447,372.4832215,2.618288975,372.4832215,1.78397507
375.8389262,4.78294892,375.8389262,0.579341424,375.8389262,0.885722103
379.1946309,2.856160484,379.1946309,5.676602818,379.1946309,1.944923607
382.5503356,3.749673587,382.5503356,1.491307886,382.5503356,1.434607737
385.9060403,1.742713966,385.9060403,2.039598031,385.9060403,2.301755794
389.261745,7.260372064,389.261745,3.647836403,389.261745,1.693712474
392.6174497,2.237840757,392.6174497,1.238086824,392.6174497,1.802329166
395.9731544,2.108764948,395.9731544,4.604894948,395.9731544,1.170197993
399.3288591,5.71849996,399.3288591,3.297916524,399.3288591,0.918127
402.6845638,3.873708475,402.6845638,1.781190152,402.6845638,1.086880886
406.0402685,5.18316148,406.0402685,1.655112022,406.0402685,2.063317402
409.3959732,3.765117813,409.3959732,5.402764334,409.3959732,1.396460889
412.7516779,2.124563107,412.7516779,2.948272625,412.7516779,0.907730189
416.1073826,4.117742515,416.1073826,1.707014892,416.1073826,2.328671925
419.4630872,4.257280726,419.4630872,3.151032905,419.4630872,2.147728939
422.8187919,6.737723499,422.8187919,1.804830534,422.8187919,4.458954705
426.1744966,7.384740151,426.1744966,3.035600365,426.1744966,3.729844761
429.5302013,7.417432981,429.5302013,1.216925679,429.5302013,1.287155289
432.885906,5.956153699,432.885906,0.773674604,432.885906,3.623951187
436.2416107,8.362959642,436.2416107,2.701562917,436.2416107,3.665943842
439.5973154,3.813184005,439.5973154,4.606594911,439.5973154,1.142443992
442.9530201,3.466387266,442.9530201,1.838688741,442.9530201,2.3619403
446.3087248,5.630439761,446.3087248,1.254561854,446.3087248,1.502491371
449.6644295,5.204657078,449.6644295,1.768309431,449.6644295,2.381313086
453.0201342,13.042502,453.0201342,2.45132124,453.0201342,4.212293447
456.3758389,4.449887466,456.3758389,5.984599008,456.3758389,3.652907974
459.7315436,14.21661034,459.7315436,5.858091936,459.7315436,3.133461641
463.0872483,12.96887267,463.0872483,7.47145235,463.0872483,4.554466465
466.442953,19.82207571,466.442953,4.66397493,466.442953,4.621700089
469.7986577,10.73792751,469.7986577,5.810319822,469.7986577,3.766468028
473.1543624,3.847637848,473.1543624,7.734941435,473.1543624,5.894792009
476.5100671,15.41062871,476.5100671,1.277305111,476.5100671,6.874395048
479.8657718,11.88173653,479.8657718,7.906519118,479.8657718,3.333985046
483.2214765,24.60249185,483.2214765,11.79351092,483.2214765,3.803103539
486.5771812,16.66732452,486.5771812,2.132309807,486.5771812,8.886258047
489.9328859,23.19946691,489.9328859,15.19240225,489.9328859,5.055555054
493.2885906,16.12318139,493.2885906,10.26730115,493.2885906,4.054677118
496.6442953,10.45172522,496.6442953,6.036576925,496.6442953,2.941966351
500,5.751334499,500,3.263616878,500,2.958323599
