frequency of X,Amplitude of X,frequency of Y,Amplitude of Y,frequency of Z,Amplitude of Z
1.002004008,4.213576845,1.002004008,2.305162885,1.002004008,3.997658211
2.004008016,2.865728519,2.004008016,1.366378719,2.004008016,2.05815679
3.006012024,1.645395319,3.006012024,0.285858554,3.006012024,1.755341888
4.008016032,16.98031261,4.008016032,3.612272197,4.008016032,3.329769256
5.01002004,3.261531785,5.01002004,1.844589971,5.01002004,3.805936681
6.012024048,3.49389124,6.012024048,2.813009765,6.012024048,4.130964148
7.014028056,6.043756886,7.014028056,4.439127506,7.014028056,3.933318006
8.016032064,2.350282463,8.016032064,3.484210263,8.016032064,1.809850799
9.018036072,5.10360499,9.018036072,4.048063431,9.018036072,1.566023714
10.02004008,4.586789675,10.02004008,0.593064096,10.02004008,2.213861656
11.02204409,3.642876344,11.02204409,4.322647381,11.02204409,3.950083483
12.0240481,4.336722821,12.0240481,3.821246812,12.0240481,3.430307428
13.0260521,5.046915594,13.0260521,4.330033812,13.0260521,3.929158115
14.02805611,1.582967575,14.02805611,4.431012324,14.02805611,3.588144845
15.03006012,3.3200792,15.03006012,2.240928537,15.03006012,3.260807589
16.03206413,2.383143876,16.03206413,1.041195256,16.03206413,1.283365529
17.03406814,6.70232242,17.03406814,2.998806996,17.03406814,3.401661289
18.03607214,6.841742947,18.03607214,4.200997575,18.03607214,0.969470356
19.03807615,4.434854694,19.03807615,2.294638427,19.03807615,1.91231011
20.04008016,2.479383937,20.04008016,4.667668161,20.04008016,3.516354859
21.04208417,8.759158354,21.04208417,4.503597289,21.04208417,6.901690793
22.04408818,5.543718631,22.04408818,3.97835686,22.04408818,6.284463681
23.04609218,7.05309645,23.04609218,4.113252072,23.04609218,5.676891598
24.04809619,4.408273818,24.04809619,4.423117041,24.04809619,3.622841833
25.0501002,3.523723765,25.0501002,1.118824027,25.0501002,1.577658556
26.05210421,1.121116832,26.05210421,3.02818689,26.05210421,3.037216267
27.05410822,2.613659325,27.05410822,2.059176819,27.05410822,3.593807109
28.05611222,2.545472904,28.05611222,4.785900007,28.05611222,1.037124468
29.05811623,2.619697655,29.05811623,1.048168112,29.05811623,1.720337847
30.06012024,3.359843053,30.06012024,2.398555171,30.06012024,1.835172888
31.06212425,7.279099034,31.06212425,0.951475103,31.06212425,1.497182711
32.06412826,3.806211513,32.06412826,3.078884484,32.06412826,1.179481688
