data from new session is written from here:
Fri May  7 15:31:49 2021,-65,322,72
Fri May  7 15:31:49 2021,-87,259,68
Fri May  7 15:31:49 2021,-55,207,88
Fri May  7 15:31:49 2021,-31,205,87
Fri May  7 15:31:49 2021,18,231,79
Fri May  7 15:31:49 2021,41,263,75
Fri May  7 15:31:49 2021,23,308,55
Fri May  7 15:31:49 2021,-40,315,56
Fri May  7 15:31:49 2021,-71,302,72
Fri May  7 15:31:49 2021,-55,315,71
Fri May  7 15:31:49 2021,-63,212,99
Fri May  7 15:31:49 2021,-25,184,89
Fri May  7 15:31:49 2021,-1,174,100
Fri May  7 15:31:49 2021,-4,224,80
Fri May  7 15:31:49 2021,-16,268,56
Fri May  7 15:31:49 2021,-20,335,54
Fri May  7 15:31:49 2021,-69,319,82
Fri May  7 15:31:49 2021,-80,299,76
Fri May  7 15:31:49 2021,-97,228,73
Fri May  7 15:31:49 2021,-57,196,103
Fri May  7 15:31:49 2021,11,160,96
Fri May  7 15:31:49 2021,13,183,80
Fri May  7 15:31:49 2021,6,252,84
Fri May  7 15:31:49 2021,-11,318,53
Fri May  7 15:31:49 2021,-57,325,65
Fri May  7 15:31:49 2021,-90,281,75
Fri May  7 15:31:49 2021,-71,223,81
Fri May  7 15:31:49 2021,-42,192,115
Fri May  7 15:31:49 2021,-3,184,101
Fri May  7 15:31:49 2021,38,175,86
Fri May  7 15:31:49 2021,30,216,90
Fri May  7 15:31:49 2021,-16,312,44
Fri May  7 15:31:49 2021,-44,313,58
Fri May  7 15:31:49 2021,-69,239,81
Fri May  7 15:31:49 2021,-53,199,109
Fri May  7 15:31:49 2021,-60,175,68
Fri May  7 15:31:49 2021,6,192,79
Fri May  7 15:31:49 2021,22,229,68
Fri May  7 15:31:50 2021,5,299,39
Fri May  7 15:31:50 2021,-37,302,75
Fri May  7 15:31:50 2021,-50,295,84
Fri May  7 15:31:50 2021,-107,268,71
Fri May  7 15:31:50 2021,-105,223,93
Fri May  7 15:31:50 2021,-71,188,98
Fri May  7 15:31:50 2021,-6,163,108
Fri May  7 15:31:50 2021,12,203,104
Fri May  7 15:31:50 2021,27,238,69
Fri May  7 15:31:50 2021,-18,313,56
Fri May  7 15:31:50 2021,-29,336,61
Fri May  7 15:31:50 2021,-63,310,80
Fri May  7 15:31:50 2021,-79,247,97
Fri May  7 15:31:50 2021,-67,205,101
Fri May  7 15:31:50 2021,-21,140,107
Fri May  7 15:31:50 2021,41,198,95
Fri May  7 15:31:50 2021,10,220,74
Fri May  7 15:31:50 2021,28,308,45
Fri May  7 15:31:50 2021,16,301,55
